Team1,Team2,Winner,Margin,Runs/wicket,Ground,Match Date,Scorecard
MI,RR,RR,6,wickets,Wankhede,01/04/24,Twenty20
DC,CSK,DC,20,runs,Visakhapatnam,31/03/24,Twenty20
GT,SRH,GT,7,wickets,Ahmedabad,31/03/24,Twenty20
LSG,PBKS,LSG,21,runs,Lucknow,30/03/24,Twenty20
RCB,KKR,KKR,7,wickets,Bengaluru,29/03/24,Twenty20
RR,DC,RR,12,runs,Jaipur,28/03/24,Twenty20
SRH,MI,SRH,31,runs,Hyderabad,27/03/24,Twenty20
CSK,GT,CSK,63,runs,Chennai,26/03/24,Twenty20
RCB,PBKS,RCB,4,wickets,Bengaluru,25/03/24,Twenty20
GT,MI,GT,6,runs,Ahmedabad,24/03/24,Twenty20
RR,LSG,RR,20,runs,Jaipur,24/03/24,Twenty20
KKR,SRH,KKR,4,runs,Eden Gardens,23/03/24,Twenty20
PBKS,DC,PBKS,4,wickets,Mullanpur,23/03/24,Twenty20
CSK,RCB,CSK,6,wickets,Chennai,22/03/24,Twenty20
PBKS,RCB,RCB,6,runs,Ahmedabad,"Jun 3, 2025",Twenty20
MI,PBKS,PBKS,5,wickets,Ahmedabad,"Jun 1, 2025",Twenty20
GT,MI,MI,20,runs,New Chandigarh,"May 30, 2025",Twenty20
PBKS,RCB,RCB,8,wickets,New Chandigarh,"May 29, 2025",Twenty20
LSG,RCB,RCB,6,wickets,Lucknow,"May 27, 2025",Twenty20
MI,PBKS,PBKS,7,wickets,Jaipur,"May 26, 2025",Twenty20
KKR,SRH,SRH,110,runs,Delhi,"May 25, 2025",Twenty20
GT,CSK,CSK,83,runs,Ahmedabad,"May 25, 2025",Twenty20
DC,PBKS,DC,6,wickets,Jaipur,"May 24, 2025",Twenty20
RCB,SRH,SRH,42,runs,Lucknow,"May 23, 2025",Twenty20
GT,LSG,LSG,33,runs,Ahmedabad,"May 22, 2025",Twenty20
MI,DC,MI,59,runs,Wankhede,"May 21, 2025",Twenty20
CSK,RR,RR,6,wickets,Delhi,"May 20, 2025",Twenty20
LSG,SRH,SRH,6,wickets,Lucknow,"May 19, 2025",Twenty20
DC,GT,GT,10,wickets,Delhi,"May 18, 2025",Twenty20
RR,PBKS,PBKS,10,runs,Jaipur,"May 18, 2025",Twenty20
KKR,CSK,CSK,2,wickets,Eden Gardens,"May 7, 2025",Twenty20
MI,GT,GT,3,wickets,Wankhede,"May 6, 2025",Twenty20
SRH,DC,no result,-,-,Hyderabad,"May 5, 2025",Twenty20
PBKS,LSG,PBKS,37,runs,Dharamsala,"May 4, 2025",Twenty20
KKR,RR,KKR,1,run,Eden Gardens,"May 4, 2025",Twenty20
RCB,CSK,RCB,2,runs,Bengaluru,"May 3, 2025",Twenty20
GT,SRH,GT,38,runs,Ahmedabad,"May 2, 2025",Twenty20
RR,MI,MI,100,runs,Jaipur,"May 1, 2025",Twenty20
CSK,PBKS,PBKS,4,wickets,Chennai,"Apr 30, 2025",Twenty20
DC,KKR,KKR,14,runs,Delhi,"Apr 29, 2025",Twenty20
RR,GT,RR,8,wickets,Jaipur,"Apr 28, 2025",Twenty20
DC,RCB,RCB,6,wickets,Delhi,"Apr 27, 2025",Twenty20
MI,LSG,MI,54,runs,Wankhede,"Apr 27, 2025",Twenty20
KKR,PBKS,no result,-,-,Eden Gardens,"Apr 26, 2025",Twenty20
CSK,SRH,SRH,5,wickets,Chennai,"Apr 25, 2025",Twenty20
