Player1,Player2,Runs,O/NO,Wickets,Team,Opposition,Ground,Match Date,Scorecard
DA Warner, MK Pandey,83,out,2nd,SRH,RCB,Chennai,14/04/2021,Twenty20
RR Pant, SO Hetmyer,83,out,5th,DC,CSK,Dubai (DICS),10/10/2021,Twenty20
Shubman Gill, VR Iyer,82,out,1st,KKR,RCB,Abu Dhabi,20/09/2021,Twenty20
AD Russell, KD Karthik,81,out,6th,KKR,CSK,Wankhede,21/04/2021,Twenty20
PP Shaw, S Dhawan,81,out,1st,DC,SRH,Chennai,25/04/2021,Twenty20
RA Jadeja, RD Gaikwad,81,out,5th,CSK,MI,Dubai (DICS),19/09/2021,Twenty20
KL Rahul, CH Gayle,80,out,2nd,PBKS,RCB,Ahmedabad,30/04/2021,Twenty20
RG Sharma, Ishan Kishan,80,out,1st,MI,SRH,Abu Dhabi,08/10/2021,Twenty20
KL Rahul, CH Gayle,79,not out,2nd,PBKS,MI,Chennai,23/04/2021,Twenty20
SA Yadav, RG Sharma,79,out,3rd,MI,PBKS,Chennai,23/04/2021,Twenty20
Shubman Gill, VR Iyer,79,out,1st,KKR,RR,Sharjah,07/10/2021,Twenty20
RR Pant, SO Hetmyer,78,not out,5th,DC,RCB,Ahmedabad,27/04/2021,Twenty20
RG Sharma, Q de Kock,78,out,1st,MI,KKR,Abu Dhabi,23/09/2021,Twenty20
E Lewis, YBK Jaiswal,77,out,1st,RR,RCB,Dubai (DICS),29/09/2021,Twenty20
E Lewis, YBK Jaiswal,77,out,1st,RR,CSK,Abu Dhabi,02/10/2021,Twenty20
SA Yadav, RG Sharma,76,out,2nd,MI,KKR,Chennai,13/04/2021,Twenty20
RD Gaikwad, F du Plessis,75,out,1st,CSK,SRH,Sharjah,30/09/2021,Twenty20
RD Gaikwad, F du Plessis,74,out,1st,CSK,RCB,Wankhede,25/04/2021,Twenty20
RD Gaikwad, F du Plessis,74,out,1st,CSK,KKR,Abu Dhabi,26/09/2021,Twenty20
DA Warner, JM Bairstow,73,out,1st,SRH,PBKS,Chennai,21/04/2021,Twenty20
GJ Maxwell, AB de Villiers,73,out,4th,RCB,PBKS,Sharjah,03/10/2021,Twenty20
Shubman Gill, N Rana,72,out,1st,KKR,MI,Chennai,13/04/2021,Twenty20
RA Tripathi, VR Iyer,72,out,2nd,KKR,PBKS,Dubai (DICS),01/10/2021,Twenty20
RG Sharma, Q de Kock,71,out,1st,MI,CSK,Delhi,01/05/2021,Twenty20
RD Gaikwad, F du Plessis,71,out,1st,CSK,RCB,Sharjah,24/09/2021,Twenty20
SA Yadav, CA Lynn,70,out,2nd,MI,RCB,Chennai,09/04/2021,Twenty20
KL Rahul, MA Agarwal,70,out,1st,PBKS,KKR,Dubai (DICS),01/10/2021,Twenty20
AT Rayudu, MS Dhoni,70,out,5th,CSK,DC,Dubai (DICS),04/10/2021,Twenty20
KS Williamson, JJ Roy,70,out,2nd,SRH,RCB,Abu Dhabi,06/10/2021,Twenty20
GJ Maxwell, KS Bharat,69,out,3rd,RCB,RR,Dubai (DICS),29/09/2021,Twenty20
V Kohli, KS Bharat,68,out,2nd,RCB,MI,Dubai (DICS),26/09/2021,Twenty20
D Padikkal, V Kohli,68,out,1st,RCB,PBKS,Sharjah,03/10/2021,Twenty20
F du Plessis, MM Ali,68,out,3rd,CSK,KKR,Dubai (DICS),15/10/2021,Twenty20
RR Pant, SS Iyer,67,not out,3rd,DC,SRH,Dubai (DICS),22/09/2021,Twenty20
KL Rahul, CH Gayle,67,out,2nd,PBKS,RR,Wankhede,12/04/2021,Twenty20
DA Warner, JM Bairstow,67,out,1st,SRH,MI,Chennai,17/04/2021,Twenty20
RA Jadeja, F du Plessis,67,out,6th,CSK,PBKS,Dubai (DICS),07/10/2021,Twenty20
F du Plessis, MM Ali,66,out,2nd,CSK,PBKS,Wankhede,16/04/2021,Twenty20
R Parag, S Dube,66,out,5th,RR,RCB,Wankhede,22/04/2021,Twenty20
RA Tripathi, EJG Morgan,66,out,4th,KKR,PBKS,Ahmedabad,26/04/2021,Twenty20
YBK Jaiswal, JC Buttler,66,out,1st,RR,MI,Delhi,29/04/2021,Twenty20
JJ Roy, Abhishek Sharma,64,out,1st,SRH,MI,Abu Dhabi,08/10/2021,Twenty20
AT Rayudu, SK Raina,63,out,4th,CSK,DC,Wankhede,10/04/2021,Twenty20
KH Pandya, Q de Kock,63,out,3rd,MI,RR,Delhi,29/04/2021,Twenty20
PP Shaw, S Dhawan,63,out,1st,DC,PBKS,Ahmedabad,02/05/2021,Twenty20
RV Uthappa, F du Plessis,63,out,2nd,CSK,KKR,Dubai (DICS),15/10/2021,Twenty20
RR Pant, SS Iyer,62,out,3rd,DC,RR,Abu Dhabi,25/09/2021,Twenty20
KL Rahul, Harpreet Brar,61,not out,6th,PBKS,RCB,Ahmedabad,30/04/2021,Twenty20
AK Markram, DJ Hooda,61,out,5th,PBKS,MI,Abu Dhabi,28/09/2021,Twenty20
RD Gaikwad, F du Plessis,61,out,1st,CSK,KKR,Dubai (DICS),15/10/2021,Twenty20
PP Shaw, S Dhawan,59,out,1st,DC,PBKS,Wankhede,18/04/2021,Twenty20
SA Yadav, RG Sharma,58,out,2nd,MI,DC,Chennai,20/04/2021,Twenty20
