Player,Team,Year,Mat,Inns,NO,Runs,HS,O/NO,Ave,BF,SR,100,50,0,4s,6s
Washington Sundar ,SRH,2023,7,5,1,60,24,not out,15,60,100,0,0,0,6,0
WG Jacks ,MI,2025,11,9,1,195,53,out,24.37,151,129.13,0,1,0,17,9
WG Jacks ,RCB,2024,8,8,1,230,100,not out,32.85,131,175.57,1,1,0,16,18
WP Saha ,GT,2022,11,11,1,317,68,out,31.7,259,122.39,0,3,1,40,7
WP Saha ,GT,2023,17,17,1,371,81,out,23.18,287,129.26,0,2,2,47,8
WP Saha ,GT,2024,9,9,0,136,39,out,15.11,115,118.26,0,0,0,18,3
WP Saha ,SRH,2020,4,4,1,214,87,out,71.33,153,139.86,0,2,0,24,5
WP Saha ,SRH,2021,9,9,0,131,44,out,14.55,140,93.57,0,0,1,7,5
XC Bartlett ,PBKS,2025,3,1,0,11,11,out,11,15,73.33,0,0,0,1,0
Yash Dayal ,RCB,2025,11,1,0,0,0,out,0,1,0,0,0,1,0,0
YBK Jaiswal ,RR,2020,3,3,0,40,34,out,13.33,44,90.9,0,0,1,2,2
YBK Jaiswal ,RR,2021,10,10,0,249,50,out,24.9,168,148.21,0,1,1,32,10
YBK Jaiswal ,RR,2022,10,10,0,258,68,out,25.8,194,132.98,0,2,0,28,10
YBK Jaiswal ,RR,2023,14,14,1,625,124,out,48.07,382,163.61,1,5,1,82,26
YBK Jaiswal ,RR,2024,16,15,1,435,104,not out,31.07,279,155.91,1,1,1,54,16
YBK Jaiswal ,RR,2025,12,12,1,473,75,out,43,306,154.57,0,5,0,46,25
YS Chahal ,RCB,2020,15,2,1,1,1,out,1,3,33.33,0,0,0,0,0
YS Chahal ,RCB,2021,15,2,2,10,8,not out,0,27,37.03,0,0,0,0,0
YS Chahal ,RR,2022,17,2,1,5,5,out,5,8,62.5,0,0,0,0,0
Yudhvir Singh ,LSG,2024,2,2,0,21,14,out,10.5,14,150,0,0,0,1,2
YV Dhull ,DC,2023,4,3,0,16,13,out,5.33,23,69.56,0,0,0,1,0
